Lended_ID,Name,Last_Name,Time_Until_Its_Back,Picture
#000021,Clarice,Penelopa,1 Week,User/folders/clients/PlaceHolderImage.png
#000023,Jacquetta,Bethany,3 Days,User/folders/clients/PlaceHolderImage.png
#000024,Cristabel,Alejoa,3 Days,User/folders/clients/PlaceHolderImage.png
#000027,Pollyanna,Jaylene,1 Week,User/folders/clients/PlaceHolderImage.png
#000029,Tatiania,Bethany,1 Day,User/folders/clients/PlaceHolderImage.png
#0000214,Sherrie,Kelula,1 Week,User/folders/clients/PlaceHolderImage.png
#0000221,Daune,Kolnick,1 Month,User/folders/clients/PlaceHolderImage.png
#0000223,Michaelina,Bord,3 Days,User/folders/clients/PlaceHolderImage.png
#0000225,Tybie,Rudolph,1 Day,User/folders/clients/PlaceHolderImage.png
#0000227,Jany,Dimitris,1 Day,User/folders/clients/PlaceHolderImage.png
#0000237,Bibby,Ulphia,1 Day,User/folders/clients/PlaceHolderImage.png
#0000238,Jeanna,Kaete,3 Days,User/folders/clients/PlaceHolderImage.png
#0000241,Belinda,Kiersten,1 Month,User/folders/clients/PlaceHolderImage.png
#0000243,Caritta,Carleen,1 Week,User/folders/clients/PlaceHolderImage.png
#0000245,Quintina,Vacuva,1 Month,User/folders/clients/PlaceHolderImage.png
#0000246,Letizia,Bashemeth,1 Month,User/folders/clients/PlaceHolderImage.png
#0000249,Mallory,Mathilde,1 Day,User/folders/clients/PlaceHolderImage.png
#0000252,Ronna,Yoko,1 Month,User/folders/clients/PlaceHolderImage.png
#0000257,Ardys,Terrence,1 Month,User/folders/clients/PlaceHolderImage.png
#0000262,Olwen,Telfer,1 Day,User/folders/clients/PlaceHolderImage.png
#0000271,Debee,Danby,1 Month,User/folders/clients/PlaceHolderImage.png
#0000277,Romona,Yuille,3 Days,User/folders/clients/PlaceHolderImage.png
#0000282,Kirbee,Plato,1 Week,User/folders/clients/PlaceHolderImage.png
#0000284,Norine,Avi,3 Days,User/folders/clients/PlaceHolderImage.png
#0000286,Bernardine,Dawkins,3 Days,User/folders/clients/PlaceHolderImage.png
#0000287,Riannon,Peti,1 Day,User/folders/clients/PlaceHolderImage.png
#0000293,Hyacinthe,Kaete,3 Days,User/folders/clients/PlaceHolderImage.png
#00002109,Fidelia,Flita,1 Month,User/folders/clients/PlaceHolderImage.png
#00002112,Myriam,Ardra,1 Day,User/folders/clients/PlaceHolderImage.png
#00002115,Marylou,Garek,1 Day,User/folders/clients/PlaceHolderImage.png
#00002124,Joceline,Virgin,1 Day,User/folders/clients/PlaceHolderImage.png
#00002129,Jobi,Idelia,1 Week,User/folders/clients/PlaceHolderImage.png
#00002132,Chandra,Martguerita,3 Days,User/folders/clients/PlaceHolderImage.png
#00002134,Aaren,Arley,1 Month,User/folders/clients/PlaceHolderImage.png
#00002140,Harrietta,Leary,1 Month,User/folders/clients/PlaceHolderImage.png
#00002141,Ronna,Francyne,1 Week,User/folders/clients/PlaceHolderImage.png
#00002147,Maud,Gherardo,3 Days,User/folders/clients/PlaceHolderImage.png
#00002149,Averyl,Sherrie,1 Week,User/folders/clients/PlaceHolderImage.png
#00002154,Anallese,Strephon,1 Month,User/folders/clients/PlaceHolderImage.png
#00002159,Ivett,Greenwald,1 Month,User/folders/clients/PlaceHolderImage.png
#00002168,Ernesta,Terrence,1 Month,User/folders/clients/PlaceHolderImage.png
#00002170,Rhoda,Idelia,1 Week,User/folders/clients/PlaceHolderImage.png
#00002177,Norine,Warthman,1 Month,User/folders/clients/PlaceHolderImage.png
#00002179,Bobinette,Etom,3 Days,User/folders/clients/PlaceHolderImage.png
#00002180,Imojean,Alcott,1 Week,User/folders/clients/PlaceHolderImage.png
#00002185,Ileana,Ventre,3 Days,User/folders/clients/PlaceHolderImage.png
#00002189,Dede,Susannah,1 Month,User/folders/clients/PlaceHolderImage.png
#00002199,Carilyn,Darian,1 Week,User/folders/clients/PlaceHolderImage.png
#00002208,Gretal,Bobbee,1 Month,User/folders/clients/PlaceHolderImage.png
#00002211,Calla,Garek,1 Day,User/folders/clients/PlaceHolderImage.png
